Video_ID,Video_file_link,MSA_caption,Sudanese_caption,Audio_file_link,Category,Region,Collection_method,Source_license,Secondary_category
VID_000029.mp4,Google_drive,امرأة تقوم بإعداد  ’الكسرة‘، وهي الخبز التقليدي السوداني، باستخدام صاج معدني مستوٍ موضوع فوق أحجار,مرة بتعوس في كسرة في صاج مختوت بين حجار,Audio_link,Local objects & culture,,Direct Permission,Permission Form,Food & Drinks
VID_000030.mp4,Google_drive,سوقُ خضروات توجد فيه مفارش لبيع الخضروات المتنوعة والبطاطس، ويشتري منه رجال يرتدون الثوب التقليدي,سوق خدار فيهو بسطات سلطة و بطاطس و في رجال لابسين جلاليب بشتروا,Audio_link,Marketplace,,Direct Permission ,Permission Form,
VID_000031.mp4,Google_drive,إفطار يضم طبقاً من اللّحم المشوي و مرق اللحم المفروم و الصلصة و البامية المهروسة و مرق البطاطس و إلى جانبها إناء عميق به عجين الذرة المطبوخ ، و بجانبهم وعاء من صلصلة الفلفل الحار و طبق السلطة الخضراء,فطور فيهو صحن شية و ملاح تقلية و بامية مفروكة  و ملاح بطاطس و صحن غريق فيهو عصيدة و كورة شطة و سلطة خدرا,Audio_link,Food & Drinks,,Direct Permission,Permission Form,
VID_000032.mp4,Google_drive,قِدْر كبير يحتوي على أعوادِ الصندل، تُسكب فوقها العطور الممزوجةُ بالسكر,حلة كبيرة فيها اعواد صندل بكبوا فيها ريحة مع سكر,Audio_link,Local objects & culture,ولاية القضارف,A friend Permission,Permission Form,
VID_000033.mp4,Google_drive,سكب القهوة  في فنجان صغير على صينية تقديم. يحيط بالفنجان مبخرة ، وعاء سكر  معدني، وصحن يحتوي على الفشار,جبنة بتتكب في فنجان و جمبه مبخر و سكرية و صحن فشار,Audio_link,Food & Drinks,ولاية القضارف,A friend Permission,Permission Form,
VID_000034.mp4,Google_drive,لقطة داخلية لمسجد، تظهر فيها الأرضية مغطاة بسجاد أحمر، بينما  السقف به زخارف ونقوش,جامع من جوا، فرشته لونها أحمر و سقفه مزخرف,Audio_link,Public places & infrastructure,ولاية الخرطوم,Direct permission,Permission Form,
VID_000035.mp4,Google_drive,لقطاتٌ لمدينة بورتسودان تظهر فيها الميناء والبحر والسفن، إلى جانب مشهد لصلاة جماعة تُقام في أحد الشوارع,لقطات لبورتسودان ظاهر فيها الميناء و البحر و فيهو السفن و لقطة لصلاة الجماعة في الشارع,Audio_link,City & Rural Life,بورتسودان/ ولاية البحر الأحمر,Direct Permission,Permission Form,
VID_000036.mp4,Google_drive,رجل يجلس على رصيفِ طريق مُعبّد، مرتدياً الزيَّ السوداني التقليدي المكوّن من الجلبابِ و سترة  بلا أكمام,راجل قاعد في الشارع قدام ظلط و لابس جلابية و سديري,Audio_link,City & Rural Life,,Direct Permission,Permission Form,
VID_000037.mp4,Google_drive,سيارات تسيرُ وتنعطفُ في الاتجاه المعاكس على شارعٍ مُعبّد بالأسفلت,عربات ماشة و بتلف في الاتجاه التاني لشارع الظلط,Audio_link,City & Rural Life,الخرطوم/ولاية الخرطوم,Direct Permission,Permission Form,
VID_000038.mp4,Google_drive,مشاهد علوية لمباني الخرطوم المطلةِ على النيل، تليها لقطةٌ لشارع مزدحم بعربات النقل ثلاثية العجلات وحركة المارة وقت الغروب,لقطة لمباني الخرطوم والنيـل وبعدها ظاهر شارع وقت الغروب مليان ركشات وحركة ناس,Audio_link,City & Rural Life,الخرطوم/ولاية الخرطوم,Direct Permission,Permission Form,
VID_000039.mp4,Google_drive,فناء يضمّ منازل تقليدية من القش، تقف أمامها مجموعة من السيارات,حوش فيهو قطاطي واقفة قدامها عربات,Audio_link,City & Rural Life,القبوب/ولاية القضارف,Direct Permission,Permission Form,
"VID_000040,mp4",Google_drive,فناء منزلي تهطل عليه أمطار ، ويحتوي على أسرّة من الحديد,مطرة صابة في حوش فيهو سراير حديد,Audio_link,City & Rural Life,أمدرمان/ولاية الخرطوم,Direct Permission,Permission Form,
VID_000041.mp4,Google_drive,سوق شعبي يضمُّ دكاكين لبيع المشغولات السعفيّة وأواني الجبنةِ الفخاريّة,سوق شعبي فيهو دكاكين بتبيع حاجات سعف و فخارات الجبنة,Audio_link,Marketplace,الخرطوم/ولاية الخرطوم,Direct Permission,Permission Form,
VID_000042.mp4,Google_drive,سوق شعبيّ يعرضُ أوانيَ  مليئة بالبهارات والبلحِ والكركديه، وبجانبِها متجرٌ صغيرٌ لمستحضرات التجميل و هناك أكياسٌ صفراءُ معبأة بالبضائع,سوق فيهو طشاطة مليانة بهارات و بلح و كركدي، و بوتيك صغير و اكياس صفرا معبية,Audio_link,Marketplace,الخرطوم/ولاية الخرطوم,Direct Permission,Permission Form,
VID_000043.mp4,Google_drive,سوق شعبي مزدحم بطاولات الملابس والحقائب والأحذية، يصدح فيه الباعة بأسعارهم عبر مكبرات الصوت,سوق فيهو طرابيز بتاعت هدوم و شنط و جزم و التجار بقولوا في الأسعار بالمكبرات,Audio_link,Marketplace,الخرطوم/ولاية الخرطوم,Direct Permission,Permission Form,
VID_000044.mp4,Google_drive,رِجال داخل حافلة مواصلات، وبها مُحصِّل الأُجرة يقف بجوار الباب,رجال جوا حافلة مواصلات و فيها كمساري واقف جمب الباب,Audio_link,Transportation,,Direct Permission,Permission Form,
VID_000045.mp4,Google_drive,ازدحام مروري على طريق معبد به سيارات و مركبات ثلاثية العجلات (ركشات),زحمة عربات و ركشات في شارع ظلط,Audio_link,Transportation,عطبرة/ولاية نهر النيل,Direct Permission,Permission Form,City & Rural Life
VID_000046.mp4,Google_drive,منطقة تكثر فيها الأشجار والحجارة، وخلفها جبال مكسوّة بالخُضرة,حتة مليانة شجر و حجار و وراها جبال مغطية بالخدار,Audio_link,Nature & Landscape,رشاد/ولاية جنوب كردفان,Licened Public(Alfadil Hamid),Video_link,
VID_000047.mp4,Google_drive,بحيرة يلعب فيها أطفال، وبجوارها مسارُ القطار يسير عليه أشخاص,بحيرة فيها شفع بلعبوا و جمبها سكة حديد ماشين فيها ناس,Audio_link,Nature & Landscape,نيالا(محلية بليل)/ولاية جنوب دارفور,Direct Permission,Permission Form,
VID_000048.mp4,Google_drive,أشخاص يجلسون فوق الرمال أمام البحر، ومن حولهم أشجار .,ناس قاعدين في رملة قدام البحر و حوالينه شجر,Audio_link,Nature & Landscape,الولاية الشمالية,Direct Permission,Permission Form,
VID_000049.mp4,Google_drive,مركب يبحر في وسط البحر، وبجواره أشجار,مركب في نص البحر و بالجمبة في شجر,Audio_link,Nature & Landscape,الكاسنجر/الولاية الشمالية,Licened Public(Alfadil Hamid),Video_link,
VID_000050.mp4,Google_drive,بركةٌ من الماء تتوسطها حجارة، وتحيط بها أشجار وحجارة كبيرة,بركة موية في نصها حجار و حولينها شجر و حجار كبيرة,Audio_link,Nature & Landscape,جبل مون/ولاية غرب دارفور,Direct Permission,Permission Form,
VID_000051.mp4,Google_drive,صحراء تضم أهرامات ومعالم أثرية مبنية من الطوب,صحرا فيها اهرامات و آثار من الطوب,Audio_link,Local objects & culture,البجراوية/ولاية نهر النيل,Direct Permission,Permission Form,Heritage
VID_000052.mp4,Google_drive,منازل قديمة متهدمة مبنية من الطوب والطين,بيوت قديمة مكسرة مبنية من طوب و طين,Audio_link,Local objects & culture,الخندق/ولاية الشمالية,Licened Public(Alfadil Hamid),Video_link,Heritage
VID_000053.mp4,Google_drive,رجل يرتدي الزّي التقليدي، ويحمل حقيبة بلاستيكية وعصًا، ويسير في شارع تصطف على جانبيه محلات صغيرة,راجل لابس جلابية  وعمة شايل مخلاية و عصاية و ماشي في شارع فيهو دكاكين,Audio_link,City & Rural Life,ولاية  كردفان,Direct Permission,Permission Form,
VID_000054.mp4,Google_drive,سطح تطل أمامه بيوت تضم أكواخاً طينية مسقوفة بالقش وأشجاراً، ومظلات من الصفيح,سطوح قدامه بيوت فيها قطاطي و شجر و عرايش من الزنكي,Audio_link,City & Rural Life,ولاية القضارف,Direct Permission,Permission Form,
VID_000055.mp4,Google_drive,أرض مخضرة مكسوة بالأشجار، ترعى فيها ماشية مع راعيها,حتة كلها خدار و شجر فيها بهايم مع الراعي بتاعهم,Audio_link,"Agriculture,Livestock and Wild animals",ولاية شمال دارفور,Direct Permission,Permission Form,Nature & Landscape
